mmsi,Port_Country,sc_vessel,vessel_type,dt_pos_utc_aoi,dt_pos_utc_nonaoi,diff_nonaoi_aoi,latitude_aoi,longitude_aoi,latitude_nonaoi,longitude_nonaoi,movement
525023278,Johor_Malaysia,Indonesia,Tanker,2022-03-06 10:58:08,2022-03-05 17:44:45,62003,1.4417,104.00943333,1.32656667,104.09788333,Masuk
525023337,Johor_Malaysia,Indonesia,Sailing,2022-11-20 18:52:16,2022-03-23 20:31:19,20902857,1.245,103.885,1.22884167,104.05103833,Masuk
525024357,Pulau Sebarok_Singapore,Indonesia,Other,2022-08-30 14:27:00,2022-07-31 03:13:00,2632440,1.20461333,103.97461,1.185,104.00166667,Masuk
525024357,Pulau Sebarok_Singapore,Indonesia,Other,2022-08-30 14:27:00,2022-07-30 17:06:59,2668801,1.20461333,103.97461,1.185,104.00166667,Masuk
525024375,Jurong Island_Singapore,Indonesia,Other,2022-01-15 18:15:12,2022-01-14 11:12:20,111772,1.24559333,103.81217833,1.07929333,103.89043833,Masuk
525024375,Jurong Island_Singapore,Indonesia,Other,2022-01-15 18:15:12,2022-01-14 10:52:12,112980,1.24559333,103.81217833,1.07910833,103.88887667,Masuk
525024375,Pulau Bukom_Singapore,Indonesia,Other,2022-01-22 08:40:10,2022-01-22 05:14:34,12336,1.38333333,103.965,1.38447167,103.96646167,Masuk
525111005,Pulau Sebarok_Singapore,Indonesia,Tanker,2022-10-12 14:37:19,2022-09-26 08:42:00,1403719,1.23466667,103.80616667,1.29466667,103.99966667,Masuk
525114114,Galveston_United States,Indonesia,Tanker,2022-08-30 17:20:10,2022-08-30 04:44:10,45360,29.31166667,-94.78666667,29.335,-94.54666667,Masuk
525114114,Galveston_United States,Indonesia,Tanker,2022-08-30 17:20:10,2022-08-30 04:32:12,46078,29.31166667,-94.78666667,29.335,-94.54666667,Masuk
525119024,Pulau Sebarok_Singapore,Indonesia,Other,2022-12-31 07:19:43,2022-12-30 23:56:56,26567,1.165,103.82166667,1.06056667,103.59471333,Masuk
525119024,Pulau Sebarok_Singapore,Indonesia,Other,2022-12-31 08:04:47,2022-12-30 23:56:56,29271,1.17,103.84333333,1.06056667,103.59471333,Masuk
525119081,Johor_Malaysia,Indonesia,Tanker,2022-01-06 08:11:07,2022-01-05 16:55:49,54918,1.29730167,103.71377667,1.23136167,103.815285,Masuk
525119081,Johor_Malaysia,Indonesia,Tanker,2022-01-07 05:14:08,2022-01-05 16:55:49,130699,1.29734,103.713735,1.23136167,103.815285,Masuk
525119081,Tanjung Pelepas_Malaysia,Indonesia,Tanker,2022-09-03 18:42:03,2022-08-02 07:47:05,2804098,1.29021333,103.72671833,1.27159833,103.75738833,Masuk
525119081,Tanjung Pelepas_Malaysia,Indonesia,Tanker,2022-09-04 13:39:04,2022-08-02 07:47:05,2872319,1.29023833,103.72674,1.27159833,103.75738833,Masuk
525119140,Shibushi Wan_Japan,Indonesia,Cargo,2022-12-28 04:21:37,2022-12-09 08:16:46,1627491,31.27291167,131.31364667,31.27940167,131.33035833,Masuk
525119140,Shibushi Wan_Japan,Indonesia,Cargo,2022-12-28 04:21:37,2022-11-30 11:44:53,2392604,31.27291167,131.31364667,31.31551667,131.33333667,Masuk
525119151,Pulau Sebarok_Singapore,Indonesia,Tanker,2022-07-03 14:03:59,2022-06-18 14:04:28,1295971,1.15245,103.7051,1.19938333,103.59965,Masuk
525125003,Port Est_Reunion,Indonesia,Cargo,2022-09-07 22:40:02,2022-09-07 18:16:29,15813,-20.76325167,55.22221,-20.73209333,55.29963167,Masuk
525125003,Port Est_Reunion,Indonesia,Cargo,2022-09-08 13:24:41,2022-09-07 18:16:29,68892,-20.93172833,55.31563833,-20.73209333,55.29963167,Masuk
525125009,Al Jubayl_Saudi Arabia,Indonesia,Cargo,2022-04-14 03:03:59,2022-04-10 23:11:19,273160,27.07649833,49.67170167,27.24632667,49.894325,Masuk
525125009,Al Jubayl_Saudi Arabia,Indonesia,Cargo,2022-04-14 03:03:59,2022-04-09 17:41:17,379362,27.07649833,49.67170167,27.24544,49.89067,Masuk
525125030,Keppel - (East Singapore)_Singapore,Indonesia,Cargo,2022-04-23 01:26:34,2022-04-22 23:21:04,7530,1.25666667,103.78,1.20291333,103.64727167,Masuk
525125030,Keppel - (East Singapore)_Singapore,Indonesia,Cargo,2022-04-23 02:31:55,2022-04-22 23:21:04,11451,1.25738,103.78124833,1.20291333,103.64727167,Masuk
525200257,Pulau Sebarok_Singapore,Indonesia,Passenger,2022-11-07 11:54:25,2022-11-06 00:01:01,129204,1.15485,103.99244667,1.2021,104.00330667,Masuk
525200257,Pulau Sebarok_Singapore,Indonesia,Passenger,2022-08-29 04:49:26,2022-08-23 06:32:31,512215,1.16536667,103.98380667,1.19938333,104.00084667,Masuk
525200523,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-01-09 12:36:50,2022-01-09 01:38:39,39491,1.161925,103.98211833,1.16497833,103.99976167,Masuk
525201763,Port Elizabeth_South Africa,Indonesia,Cargo,2022-12-03 17:34:18,2022-05-19 10:11:11,17133787,-33.88271333,25.66937667,-34.16052667,25.77767667,Masuk
525201763,Port Elizabeth_South Africa,Indonesia,Cargo,2022-12-04 23:07:07,2022-05-19 10:11:11,17240156,-33.88252667,25.67008833,-34.16052667,25.77767667,Masuk
525600073,Masinloc_Philippines,Indonesia,Cargo,2022-12-26 06:38:02,2022-12-25 20:22:57,36905,15.565,119.92666667,15.35,119.85166667,Masuk
525600073,Masinloc_Philippines,Indonesia,Cargo,2022-12-26 13:35:06,2022-12-25 20:22:57,61929,15.565,119.92666667,15.35,119.85166667,Masuk
525888888,Serangoon Harbor_Singapore,Indonesia,Tanker,2022-07-09 21:50:44,2022-07-08 07:00:27,139817,1.21582333,104.03952667,1.21128167,104.14771333,Masuk
525002039,Johor_Malaysia,Indonesia,Cargo,2022-04-20 10:57:55,2022-04-19 15:58:56,68339,1.30153833,103.72508667,1.23369333,103.816955,Masuk
525002079,Serangoon Harbor_Singapore,Indonesia,Passenger,2022-08-22 12:41:47,2022-08-20 03:27:27,206060,1.21555833,104.02562,1.19524,104.13995333,Masuk
525005398,Bangkok_Thailand,Indonesia,Cargo,2022-11-06 08:26:16,2022-11-02 22:24:28,295308,13.659635,100.57091,13.54666667,100.58333333,Masuk
525008072,Ceuta_Spain,Indonesia,Tanker,2022-09-17 15:05:54,2022-08-16 02:33:24,2809950,36.00717,-5.14220333,36.10206333,-5.36365333,Masuk
525012317,Jurong Island_Singapore,Indonesia,Cargo,2022-01-06 15:05:09,2022-01-05 05:03:10,122519,1.426685,103.89912167,1.08123667,103.72317167,Masuk
525012317,Jurong Island_Singapore,Indonesia,Cargo,2022-01-06 15:05:09,2022-01-05 04:57:40,122849,1.426685,103.89912167,1.079455,103.72107667,Masuk
